id	分类模块	族	类型	英文	中文	状态
	界面文案	载具与工坊	ui	Type in a name for your boat.\nThen click on the 'Save' button.	键入船名。\n然后单击“保存”按钮	ok
	界面文案	载具与工坊	ui	Click on the 'Save' button in the top bar to start saving your boat.	单击顶部栏中的“保存”按钮开始保存您的船	ok
	界面文案	任务与剧情	ui	Press [$[action_missions]] again to close the missions screen.	再次按[$[action_missions]]关闭任务屏幕	ok
	界面文案	任务与剧情	ui	You have a new mission.\nPress [$[action_missions]] to bring up the missions screen and get more information.	您有一个新任务。\n按[$[action_missions]]打开任务屏幕并获取更多信息	ok
	界面文案	任务与剧情	ui	Click on the 'Missions' button to see an overview of all currently available missions.	点击“任务”按钮查看所有当前可用任务的概述	ok
	界面文案	任务与剧情	ui	Click the mission overview to show more detailed information about it.	单击任务概述以显示有关它的详细信息	ok
	界面文案	任务与剧情	ui	Click the 'Toggle Active' button to make this the active mission.\n\nThe mission will then be shown on the map and in game.	单击“切换活动”按钮，使其成为活动任务。\n\n任务将显示在地图和游戏中	ok
	界面文案	按键与控制	ui	Press [$[action_interact_right]] when looking at the crate to pick it up.	在面对板条箱时，按[$[action_interact_right]]将其拿起	ok
	界面文案	按键与控制	ui	Press [$[action_interact_right]] (hold and release to throw) to place the crate into your boat.	按[$[action_interact_right]](按住并松开以投掷)将板条箱放入您的船中	ok
	界面文案	按键与控制	ui	Press [$[action_use_seat]] when looking at your pilot seat to start driving your boat.	当面对驾驶座时按$[action_use_seat]开始驾驶	ok
	界面文案	按键与控制	ui	Press [$[action_camera_mode]] to enter third-person view while in a seat.	按[$[action_camera_mode]]进入第三人称视角	ok
	界面文案	按键与控制	ui	Press [$[action_camera_mode]] to return to first-person view.	按[$[action_camera_mode]]返回第一人称视图	ok
	界面文案	按键与控制	ui	Use [$[action_up]][$[action_left]][$[action_down]][$[action_right]] to drive to the target location.	使用[$[action_up][$[action_left][$[action_down][$[action_right]]驱动到目标位置	ok
	界面文案	按键与控制	ui	Press [$[action_interact_right]] while looking at the engine on/off button to turn on the engine.	在查看“引擎打开/关闭”按钮时，按[$[action_interact_right]]以打开引擎	ok
	界面文案	按键与控制	ui	Press [$[action_use_seat]] to exit your vehicle.	按[$[action_interact_right]]退出载具	ok
	界面文案	按键与控制	ui	Press [$[action_interact_right]] to pick up the crate.	按$[action_interact_right]]来取走板条箱	ok
	界面文案	按键与控制	ui	Press [$[action_interact_right]] to place the crate in the drop zone.	按$[action_interact_right]]将板条箱放置在放置区域	ok
	界面文案	通用界面	ui	Click the sleep button to fast-forward time.	按下睡眠按钮来快进时间	ok
	界面文案	按键与控制	ui	Press [$[action_use_seat]] while looking at your bed to go to sleep.	面对床时按$[action_use_seat]入睡	ok
	界面文案	通用界面	ui	Bed	床	ok
	界面文案	通用界面	ui	Return to your home base.	回到你的基地	ok
	界面文案	通用界面	ui	Home	家	ok
	界面文案	通用界面	ui	Welcome to Stormworks	欢迎来到Stormworks	ok
	界面文案	载具与工坊	ui	FIX YOUR BOAT	修理你的船	ok
	界面文案	编辑器与建造	ui	Your boat was damaged in a recent storm. You will need to use a workbench to fix it.	你的船在最近一次风暴中损坏了。你需要使用工作台来修复它	ok
	界面文案	编辑器与建造	ui	Workbench	工作台	ok
	界面文案	载具与工坊	ui	VEHICLE EDITOR	载具编辑器	ok
	界面文案	载具与工坊	ui	This is the vehicle editor, where you can fix your boat.	这是载具编辑器，你可以在这里修理你的船	ok
	界面文案	通用界面	ui	ROTATE THE CAMERA	旋转摄像机	ok
	界面文案	载具与工坊	ui	You can rotate the camera around in the vehicle editor by holding the RIGHT MOUSE BUTTON while dragging, or by holding [shift] and LEFT MOUSE BUTTON.	拖动时按住鼠标右键，或按住[shift]和鼠标左键，可以在载具编辑器中旋转摄像头	ok
	界面文案	通用界面	ui	MOVE THE CAMERA	移动摄像机	ok
	界面文案	载具与工坊	ui	You can pan the camera around in the vehicle editor by dragging while holding \nMIDDLE MOUSE BUTTON\nor\n[alt] and LEFT MOUSE BUTTON.	您可以在按住鼠标中键或[alt]和鼠标左键的同时拖动，在载具编辑器中左右移动摄像头	ok
	界面文案	通用界面	ui	ZOOM THE CAMERA	放大摄像机	ok
	界面文案	通用界面	ui	You can zoom the camera in and out by using the MOUSE SCROLL WHEEL\nor\nthe [-] and [=] keys.	您可以使用鼠标滚轮或[-]和[=]键来放大和缩小摄像头	ok
	界面文案	通用界面	ui	RESET THE CAMERA	重置摄像机	ok
	界面文案	通用界面	ui	Open the camera settings by pressing the 'Camera' button.	按“摄像机”按钮打开摄像机设置	ok
	界面文案	通用界面	ui	Return the camera to its original position by pressing the 'Reset Camera' button.	按下“重置摄像机”按钮，将摄像机返回其原始位置	ok
	界面文案	通用界面	ui	PLACE BLOCK (1/3)	放置块(1/3)	ok
	界面文案	教程与提示	ui	Place a block in the highlighted space.\n\nMouse over an adjacent component to choose what to connect the block to.\n\nThen click to place it.	将块放在突出显示的空间中。\n\n请在相邻组件上使用，以选择将块连接收到的对象。\n\n然后单击以放置它	ok
	界面文案	通用界面	ui	PLACE BLOCK (2/3)	放置块(2/3)	ok
	界面文案	通用界面	ui	PLACE BLOCK (3/3)	放置块(3/3)	ok
	界面文案	通用界面	ui	PLACE BLOCKS	放置块	ok
	界面文案	通用界面	ui	Place the next three blocks.\n\nMultiple blocks can be placed at once by dragging.	放置下三个块。\n\n可以通过拖动一次放置多个块	ok
	界面文案	编辑器与建造	ui	PLACE WEDGE	放置斜面	ok
	界面文案	编辑器与建造	ui	PLACE WEDGES	放置楔子	ok
	界面文案	通用界面	ui	PLACE PYRAMID	放置楔形	ok
	界面文案	通用界面	ui	CONNECT LOGIC (1/5)	连接逻辑(1/5)	ok
	界面文案	通用界面	ui	CONNECT LOGIC (2/5)	连接逻辑(2/5)	ok
	界面文案	通用界面	ui	CONNECT LOGIC (3/5)	连接逻辑(3/5)	ok
	界面文案	通用界面	ui	CONNECT LOGIC (4/5)	连接逻辑(4/5)	ok
	界面文案	通用界面	ui	CONNECT LOGIC (5/5)	连接逻辑(5/5)	ok
	界面文案	载具与工坊	ui	SAVE BOAT	保存船	ok
	界面文案	载具与工坊	ui	Save your boat design so that you can come back to it later.	保存您的船的设计，以便您可以之后使用	ok
	界面文案	载具与工坊	ui	SPAWN BOAT	生成船	ok
	界面文案	载具与工坊	ui	Your boat is ready to go.\n\nClick on the 'Spawn' button to build it and take it for a spin.	您的船已经准备好出发了。\n\n单击“生成”按钮来建造它并出去兜两圈	ok
	界面文案	任务与剧情	ui	SELECT ACTIVE MISSION	选择当前任务	ok
	界面文案	任务与剧情	ui	COMPLETE MISSION	完成任务	ok
	界面文案	通用界面	ui	RETURN TO BASE	返回基地	ok
	界面文案	通用界面	ui	Press [f] to focus on hovered mouse position	按[f]聚焦于鼠标悬停位置	ok
	界面文案	通用界面	ui	Press [f] to focus on selected object	按[f]聚焦选定对象	ok
	界面文案	通用界面	ui	Press [lmb] to place object	按[鼠标左键]放置对象	ok
	界面文案	通用界面	ui	Hold [shift] to place multiple	按住[shift]可放置多个	ok
	界面文案	通用界面	ui	Press [enter] to cancel	按[enter]取消	ok
	界面文案	通用界面	ui	Press [del] to delete object	按[del]删除对象	ok
	界面文案	通用界面	ui	Ocean	海洋	ok
	界面文案	通用界面	ui	1km x 1km of empty ocean.	1km x 1km的空海	ok
	界面文案	通用界面	ui	Hospital	医院	ok
	界面文案	通用界面	ui	Small hospital.	小医院	ok
	界面文案	通用界面	ui	Science	科研	ok
	界面文案	通用界面	ui	Small science and research outpost.	小型科学研究基地	ok
	界面文案	通用界面	ui	Police	警察	ok
	界面文案	通用界面	ui	Small police station.	小型警察局	ok
	界面文案	通用界面	ui	Airport	机场	ok
	界面文案	图形与设置	ui	Large runway in the shadow of an impenetrable plateau.	高原下的大型跑道	ok
	界面文案	通用界面	ui	Brinkfield	布林克菲尔德	ok
	界面文案	地形与环境	ui	Nuclear power plant with dock, reactor rooms and underground disposal pool.	带有码头、反应堆室和地下废料池的核电站	ok
	界面文案	生物与角色	ui	Fishing Village	渔村	ok
	界面文案	地形与环境	ui	Small fishing village with mountain, multiple sea stacks and a rocky peninsula.	小渔村，有山，多个海蚀柱和岩石半岛屿	ok
	界面文案	通用界面	ui	Wind Turbine	风力发电机	ok
	界面文案	通用界面	ui	Large offshore wind turbine.	大型海上风力涡轮机	ok
	界面文案	通用界面	ui	Small Oil Rig	小型石油钻机	ok
	界面文案	通用界面	ui	Medium Oil Rig	中型石油钻机	ok
	界面文案	通用界面	ui	Wind Farm	风电场	ok
	界面文案	通用界面	ui	Multiple wind turbines atop a gentle hillside.	多个风力涡轮机在一个平缓的山坡上	ok
	界面文案	通用界面	ui	Oil Refinery	炼油厂	ok
	界面文案	载具与工坊	ui	An industrial oil refinery with boat access.	有船通道的工业炼油厂	ok
	界面文案	通用界面	ui	Lighthouse	灯塔	ok
	界面文案	地形与环境	ui	An unmanned lighthouse surrounded by hazardous rock formations.	被礁石包围的无人灯塔	ok
	界面文案	地形与环境	ui	Observatory	天文台	ok
	界面文案	地形与环境	ui	An astronomical observatory research base.	天文台研究基地	ok
	界面文案	通用界面	ui	Sea Fort	海上堡垒	ok
	界面文案	通用界面	ui	An abandoned military sea fort that has been reopened as a tourist hotspot.	作为旅游热点重新开放的废弃军事海堡	ok
	界面文案	通用界面	ui	Mainland Cliff	大陆悬崖	ok
	界面文案	通用界面	ui	Small cliff at the corner of the mainland.	大陆一角的小悬崖	ok
	界面文案	通用界面	ui	Mainland Village	大陆村庄	ok
	界面文案	地形与环境	ui	Small fishing village near a rocky bay.	岩石海湾附近的小渔村	ok
	界面文案	通用界面	ui	Mainland Peninsula	大陆半岛屿	ok
	界面文案	地形与环境	ui	Wall of sharp rocks extending out into the ocean.	伸入海洋的尖锐岩石墙	ok
	界面文案	通用界面	ui	Mainland Tunnel	大陆隧道	ok
	界面文案	通用界面	ui	A short continuing section of rail and road tunnels leading away from the mainland.	从大陆引出的铁路和公路隧道的一段短而连续的路段	ok
	界面文案	通用界面	ui	Mainland Junction	大陆枢纽	ok
	界面文案	通用界面	ui	The junction point on the mainland where the trainline to the Arctic begins.	大陆上通往北极的铁路线的交汇点	ok
	界面文案	通用界面	ui	Mainland Road	大陆路	ok
	界面文案	地形与环境	ui	Coastal road with a natural tunnel through a rock face.	经过穿山隧道的海滨公路	ok
	界面文案	通用界面	ui	Mainland Quarry	大陆采石场	ok
	界面文案	地形与环境	ui	Large quarry with mine, natural rock bridge and small castle ruin.	大型采石场，带有矿山、天然岩桥和小城堡遗址	ok
	界面文案	地形与环境	ui	Mainland Beach	大陆海滩	ok
	界面文案	地形与环境	ui	Small beach with several rock stacks.	有几个岩石堆的小海滩	ok
	界面文案	通用界面	ui	Mainland Cliff 2	大陆悬崖2	ok
	界面文案	通用界面	ui	Key Cottage	沙洲小屋	ok
	界面文案	地形与环境	ui	Small island with lone cottage on the key.	建有一个沙洲小屋的小岛	ok
	界面文案	通用界面	ui	Key Chemical Plant	沙洲化工厂	ok
	界面文案	地形与环境	ui	Small island with chemical plant on the key.	建有一个沙洲化工厂的小岛	ok
	界面文案	通用界面	ui	Key Lighthouse OB	沙洲灯塔OB	ok
	界面文案	地形与环境	ui	Small island with lighthouse on the key.	建有一个沙洲灯塔的小岛	ok
	界面文案	通用界面	ui	Uninhabited 1	无人岛1	ok
	界面文案	地形与环境	ui	Small island with cliff edges.	有峭壁的小岛	ok
	界面文案	通用界面	ui	Uninhabited 2	无人岛2	ok
	界面文案	地形与环境	ui	Smooth climb to a rocky cliffside.	平稳地爬到岩石峭壁上	ok
	界面文案	通用界面	ui	Uninhabited 3	无人岛3	ok
	界面文案	地形与环境	ui	Two small islands surrounded by cliffs. Aerial access only.	只能从空中进入的四壁高耸的小岛	ok
	界面文案	通用界面	ui	Uninhabited 4	无人岛4	ok
	界面文案	通用界面	ui	Multiple scattered sea stacks.	多个散落的海蚀柱	ok
	界面文案	通用界面	ui	Uninhabited 5	无人岛5	ok
	界面文案	地形与环境	ui	Relatively flat island with central rocky outcrop.	相对平坦的岛屿，中部有突出的岩石	ok
	界面文案	通用界面	ui	Uninhabited 6	无人岛6	ok
	界面文案	地形与环境	ui	Rocky shoreline with a small bay.	有一个小海湾的岩石海岸线	ok
	界面文案	通用界面	ui	Uninhabited 7	无人岛7	ok
	界面文案	地形与环境	ui	High cliffs and a bay with 2 narrow entrances.	高耸的悬崖和一个有两个狭窄入口的海湾	ok
	界面文案	通用界面	ui	Ruins 1	废墟1	ok
	界面文案	地形与环境	ui	Rocky coastline with small cave, ancient ruin and sheltered beach.	岩石海岸线，有小山洞，古老的遗迹和隐蔽的海滩	ok
	界面文案	通用界面	ui	Ruins 2	废墟2	ok
	界面文案	通用界面	ui	Sheltered cove, ancient ruin, cliff face connected by natural arch.	隐蔽的海湾，古老的废墟，悬崖面由自然拱门连接	ok
	界面文案	地形与环境	ui	Seabed Rock Formation 1	海床岩层1	ok
	界面文案	地形与环境	ui	A rocky formation with cave on the ocean bed.	海床上有洞穴的岩石	ok
	界面文案	地形与环境	ui	Seabed Rock Formation 2	海床岩层2	ok
	界面文案	地形与环境	ui	Two small rock formations on the ocean bed.	海床上的两个小岩层	ok
	界面文案	地形与环境	ui	Seabed Rock Formation 3	海床岩层3	ok
	界面文案	地形与环境	ui	Multiple scattered rock stacks on the ocean bed.	海床上的多个分散的石堆	ok
	界面文案	地形与环境	ui	Seabed Rock Formation 4	海床岩层4	ok
	界面文案	地形与环境	ui	A flat rocky formation with central mound on the ocean bed.	海床上的有中心丘的平坦岩石层	ok
	界面文案	地形与环境	ui	Seabed Rock Formation 5	海床岩层5	ok
	界面文案	地形与环境	ui	Seabed Rock Formation 6	海床岩层6	ok
	界面文案	地形与环境	ui	Small rocky formation on the ocean bed.	海床上的小岩石	ok
	界面文案	地形与环境	ui	Seabed Rock Formation 7	海床岩层7	ok
	界面文案	地形与环境	ui	Several rocky stacks on the ocean bed.	海床上的几个岩堆	ok
	界面文案	地形与环境	ui	Seabed Caves	海底洞穴	ok
	界面文案	地形与环境	ui	A system of underwater caves.	水下洞穴系统	ok
	界面文案	地形与环境	ui	Seabed Shipwreck	海床沉船	ok
	界面文案	通用界面	ui	A sunken iron-hulled merchant vessel.	沉没的铁壳商船	ok
	界面文案	地形与环境	ui	Seabed Shipwreck 2	海床沉船2	ok
	界面文案	通用界面	ui	A sunken historic timber caravel.	很久以前就沉没了的木帆船	ok
	界面文案	通用界面	ui	Ice	冰	ok
	界面文案	通用界面	ui	Ice Variant	冰块变量	ok
	界面文案	通用界面	ui	Ice Scale	冰块尺寸	ok
	界面文案	通用界面	ui	ADD ICE	添加冰块	ok
	界面文案	警告与错误	ui	Ice cannot be picked up but can be moved using vehicles. Its size and type can be set in the properties window.	冰不能被捡起，但可以用载具移动。其大小和类型可以在“属性”窗口中设置	ok
	界面文案	通用界面	ui	Arctic Ocean	北冰洋	ok
	界面文案	通用界面	ui	1km x 1km of empty Arctic ocean.	1 x 1km 的空北冰洋	ok
	界面文案	通用界面	ui	Arctic Oil Refinery	北极炼油厂	ok
	界面文案	通用界面	ui	An oil refinery with rail access.	有铁路连通的炼油厂	ok
	界面文案	通用界面	ui	Arctic Ship Breaking Yard	北极船只拆解厂	ok
	界面文案	地形与环境	ui	A ship breaking yard with dry dock where boats are brought to be scrapped.	带干船坞的拆船场，废旧船只在这里被拆解	ok
	界面文案	通用界面	ui	Arctic Research Facility	北极研究设施	ok
	界面文案	通用界面	ui	An Arctic survey base situated on top of a large iceberg.	位于一座大冰山顶部的北极考察基地	ok
	界面文案	地形与环境	ui	Arctic Mainland Rocks	北极大陆岩石	ok
	界面文案	地形与环境	ui	A rocky coastal area surrounded by multiple small icebergs.	被多个小冰山包围的岩石海岸地区	ok
	界面文案	通用界面	ui	Arctic Oil Platform	北极石油平台	ok
	界面文案	通用界面	ui	An oil platform built on the edge of the Arctic mainland, with road access to a train terminal.	建在北极大陆边缘的石油平台，有通往火载具站的公路	ok
	界面文案	通用界面	ui	Arctic Mainland Hill	北极大陆山	ok
	界面文案	地形与环境	ui	A snow-covered rocky hill. Small section of train line with junction boxes.	白雪覆盖的岩石山。带有岔路的铁路线小区段	ok
	界面文案	通用界面	ui	Arctic Mainland Outcrop	露出海面的北极大陆	ok
	界面文案	地形与环境	ui	Southern end of an outcrop off the coast of the Arctic mainland.	北极大陆海岸外露头的南端	ok
	界面文案	通用界面	ui	Arctic Mainland Outpost	北极大陆哨所	ok
	界面文案	地形与环境	ui	An Arctic research outpost, large inland lake and train terminal with road access.	北极研究前哨，大型内陆湖和火载具站，有公路通道	ok
	界面文案	生物与角色	ui	Arctic Fishing Village	北极渔村	ok
	界面文案	地形与环境	ui	A small fishing village with a dock and a un-manned lighthouse.	有码头和无人灯塔的小渔村	ok
	界面文案	通用界面	ui	Arctic Mainland Arch	北极大陆拱	ok
	界面文案	地形与环境	ui	Eroded rocks form a snow-covered natural arch.	侵蚀的岩石形成一个覆盖着雪的天然拱门	ok
	界面文案	通用界面	ui	Arctic Mainland South	北极大陆南部	ok
	界面文案	通用界面	ui	Southern point of the Arctic mainland where the incoming trainline splits.	北冰洋大陆的南端，在那里进站的铁路线分开	ok
	界面文案	地形与环境	ui	Arctic Mainland Coast	北极大陆海岸	ok
	界面文案	地形与环境	ui	A small section of coastline with multiple small icebergs offshore.	海岸线的一小部分，离岸有多个小冰山	ok
	界面文案	通用界面	ui	Arctic Container Depot	北极集装箱仓库	ok
	界面文案	地形与环境	ui	A large shipping container depot with several docking areas and trainline access.	有多个停泊区和铁路线连接的大型集装箱仓库	ok
	界面文案	通用界面	ui	Arctic Underwater Mining	北极水下矿井	ok
	界面文案	地形与环境	ui	An underwater drilling and mining facility with dock and trainline access.	水下钻井和采矿设施，带码头和火铁路连接	ok
	界面文案	多人游戏与服务器	ui	Multiplayer Island Base	多人岛屿基地	ok
	界面文案	地形与环境	ui	A large island complete with dock and airstrip, both featuring with two workbenches.	大型岛屿，配有码头和简易机场，均配有两个工作台	ok
	界面文案	通用界面	ui	Ice Shelf 1	冰架1	ok
	界面文案	通用界面	ui	An ice shelf with multiple large icebergs.	有多座大冰山的冰架	ok
	界面文案	通用界面	ui	Ice Shelf 2	冰架2	ok
	界面文案	通用界面	ui	An ice shelf with narrow passages between cliffs of ice.	在冰崖之间有狭窄通道的冰架	ok
	界面文案	通用界面	ui	Ice Shelf 3	冰架3	ok
	界面文案	通用界面	ui	An ice shelf with multiple large icebergs.	有多座大冰山的冰架	ok
	界面文案	通用界面	ui	Ice Shelf 4	冰架4	ok
	界面文案	通用界面	ui	An ice shelf with multiple large icebergs.	有多座大冰山的冰架	ok
	界面文案	通用界面	ui	Ice Shelf 5	冰架5	ok
	界面文案	通用界面	ui	An ice shelf with multiple large icebergs.	有多座大冰山的冰架	ok
